# DAUGHTER VS RLS BY REJUVENATION
# original file "wt_decCap_noRe_3gen_perturbed.txt" 
# genT	cycleGrowth	rejuvenation
1.5028	1.6009	0.3884
1.8158	1.6443	0.3884
1.5445	1.6166	0.3884
1.5412	1.6128	0.3884
1.5088	1.6044	0.3884
1.5698	1.6116	0.3884
1.5117	1.6081	0.3884
1.5044	1.6064	0.3884
1.5092	1.6059	0.3884
1.4384	1.6026	0.3865
1.5003	1.6073	0.3865
1.4394	1.5995	0.3865
1.5101	1.6062	0.3865
1.6348	1.6191	0.3865
1.5071	1.6002	0.3865
1.4985	1.6041	0.3865
1.5457	1.6072	0.3865
1.5421	1.6082	0.3865
1.5161	1.6046	0.3865
1.5693	1.618	0.3865
1.5274	1.607	0.3865
1.6473	1.6146	0.3865
1.4993	1.5966	0.3865
1.4933	1.5975	0.3865
1.5076	1.6045	0.3865
1.5432	1.6101	0.3865
1.521	1.6065	0.3865
1.4906	1.603	0.3865
1.4778	1.6034	0.3865
1.4762	1.602	0.3865
1.596	1.6222	0.3865
1.587	1.6215	0.3865
1.5186	1.6012	0.3865
1.4678	1.6025	0.3865
1.5892	1.6154	0.3865
1.6249	1.6244	0.3865
1.4258	1.5959	0.3865
1.5523	1.6135	0.3865
1.5524	1.6094	0.3865
1.5481	1.6079	0.3865
1.5182	1.6097	0.3865
1.4958	1.6004	0.3865
1.4895	1.6035	0.3865
1.6918	1.6199	0.3865
1.5127	1.6069	0.3863
1.5609	1.6148	0.3863
1.5317	1.6123	0.3863
1.6338	1.6094	0.3863
1.6679	1.6238	0.3863
1.6841	1.6144	0.3863
1.6059	1.6205	0.3863
1.5709	1.6094	0.3863
1.4699	1.6052	0.3863
1.5507	1.6136	0.3863
1.5369	1.6072	0.3863
1.5197	1.6032	0.3863
1.5167	1.6044	0.3863
1.4341	1.5985	0.3863
1.4754	1.5967	0.3863
1.5434	1.6096	0.3863
1.6852	1.626	0.3863
1.5036	1.6118	0.3863
1.5629	1.5953	0.3863
1.5056	1.6036	0.3863
