# =============================================
# WT SURFACES
# =============================================
# Q 2.5526 
# s 0.637 
# g 1.05 
# maximal time 1000.0 
# expected RLS 24 pm 0 
# =============================================
# k1	k2	R	re	RLS	lifetime	tau	eta
0.360000	0.015000	1000.000000	0.080700	24.000000	37.752849	0.747661	0.875000
0.360000	0.015000	0.318310	0.071950	24.000000	36.951708	0.748694	0.875000
0.360000	0.020000	1000.000000	0.096950	24.000000	38.986699	0.694156	0.833333
0.360000	0.020000	0.318310	0.083200	24.000000	36.838558	0.752533	0.875000
0.360000	0.025000	1000.000000	0.113200	24.000000	39.879750	0.646765	0.791667
0.360000	0.025000	0.318310	0.095388	24.000000	37.193645	0.751923	0.875000
0.360000	0.030000	1000.000000	0.130700	24.000000	41.689479	0.633241	0.791667
0.360000	0.030000	0.318310	0.108200	24.000000	37.836445	0.748579	0.875000
0.360000	0.035000	1000.000000	0.148200	24.000000	42.599155	0.589484	0.750000
0.360000	0.035000	0.318310	0.120700	24.000000	38.175391	0.748293	0.875000
0.360000	0.040000	1000.000000	0.165700	24.000000	42.657456	0.597126	0.750000
0.360000	0.040000	0.318310	0.133200	24.000000	38.389473	0.749372	0.875000
0.360000	0.045000	1000.000000	0.185700	24.000000	44.603323	0.000000	0.000000
0.360000	0.045000	0.318310	0.145700	24.000000	38.495714	0.751500	0.875000
0.360000	0.050000	1000.000000	0.205700	24.000000	45.461877	0.508083	0.666667
0.360000	0.050000	0.318310	0.159450	24.000000	39.263003	0.700025	0.833333
0.360000	0.055000	1000.000000	0.228200	24.000000	47.858864	0.458471	0.625000
0.360000	0.055000	0.318310	0.173200	24.000000	39.956603	0.695993	0.833333
0.360000	0.060000	1000.000000	0.250700	24.000000	48.602584	0.424916	0.583333
0.360000	0.060000	0.318310	0.185700	24.000000	39.592462	0.703778	0.833333
0.360000	0.065000	1000.000000	0.275075	24.000000	49.856043	0.425664	0.583333
0.360000	0.065000	0.318310	0.200700	24.000000	40.834775	0.648994	0.791667
0.360000	0.070000	0.318310	0.213200	24.000000	40.174795	0.705232	0.833333
0.360000	0.075000	0.318310	0.228200	24.000000	40.982758	0.655636	0.791667
0.360000	0.080000	0.318310	0.243200	24.000000	41.677544	0.652466	0.791667
0.360000	0.085000	0.318310	0.258200	24.000000	42.195106	0.651359	0.791667
0.360000	0.090000	0.318310	0.273200	24.000000	42.508582	0.652599	0.791667
0.360000	0.095000	0.318310	0.288200	24.000000	42.649990	0.655652	0.791667
0.365000	0.005000	1000.000000	0.038200	24.000000	36.978242	0.745069	0.875000
0.365000	0.005000	0.318310	0.034450	24.000000	35.943257	0.801828	0.916667
0.365000	0.010000	1000.000000	0.053200	24.000000	38.419822	0.685796	0.833333
0.365000	0.010000	0.318310	0.046950	24.000000	36.940820	0.746126	0.875000
0.365000	0.015000	1000.000000	0.066950	24.000000	37.767902	0.747870	0.875000
0.365000	0.015000	0.318310	0.058200	24.000000	36.907401	0.749618	0.875000
0.365000	0.020000	1000.000000	0.083200	24.000000	39.251888	0.690860	0.833333
0.365000	0.020000	0.318310	0.070700	24.000000	37.829958	0.741727	0.875000
0.365000	0.025000	1000.000000	0.098200	24.000000	39.167835	0.699320	0.833333
0.365000	0.025000	0.318310	0.081950	24.000000	37.461542	0.749672	0.875000
0.365000	0.030000	1000.000000	0.114450	24.000000	39.783141	0.655329	0.791667
0.365000	0.030000	0.318310	0.094450	24.000000	38.025436	0.746673	0.875000
0.365000	0.035000	1000.000000	0.133200	24.000000	42.090531	0.595052	0.750000
0.365000	0.035000	0.318310	0.105700	24.000000	37.593936	0.754150	0.875000
0.365000	0.040000	1000.000000	0.150700	24.000000	42.462376	0.598531	0.750000
0.365000	0.040000	0.318310	0.118200	24.000000	37.886318	0.754301	0.875000
0.365000	0.045000	1000.000000	0.169450	24.000000	43.407931	0.557453	0.708333
0.365000	0.045000	0.318310	0.131950	24.000000	38.858973	0.700980	0.833333
0.365000	0.050000	1000.000000	0.189450	24.000000	44.667532	0.514753	0.666667
0.365000	0.050000	0.318310	0.145700	24.000000	40.003842	0.690513	0.833333
0.365000	0.055000	1000.000000	0.210700	24.000000	46.092730	0.511568	0.666667
0.365000	0.055000	0.318310	0.158200	24.000000	39.628636	0.699607	0.833333
0.365000	0.060000	1000.000000	0.233200	24.000000	47.517483	0.470599	0.625000
0.365000	0.060000	0.318310	0.170700	24.000000	39.374208	0.706006	0.833333
