# DAUGHTER VS RLS BY REJUVENATION
# original file "wt_decCap_highRe_3gen.txt" 
# initSize	totGrowth	rejuvenation
0.85549834	3.2124	0.6345
0.75189398	3.5217	0.6341
0.79897778	3.2559	0.6341
0.85006944	3.11	0.6341
0.77041224	3.5415	0.6341
0.75580184	3.5539	0.6341
0.70978382	3.9356	0.6341
0.76747016	3.5923	0.6341
0.90775578	3.1265	0.634
0.58365334	4.46	0.634
0.6019163399999999	4.5871	0.634
0.6490001400000001	4.0269	0.634
0.8344932599999999	3.1134	0.634
0.9211004	2.8839	0.634
0.6736578200000001	3.8558	0.634
0.60440316	4.3446	0.634
0.6504211799999999	4.1843	0.634
0.99613922	2.8197	0.634
0.7772621799999999	3.4194	0.634
0.8015646000000001	3.4173	0.634
0.7707675	3.4869	0.634
0.84357476	3.1912	0.6334
0.9008058400000001	2.8974	0.6334
0.7943593999999999	3.3828	0.6334
0.8990295399999999	2.9818	0.6334
0.71308116	4.0288	0.6334
0.82951962	3.3007	0.6334
0.72464948	3.6423	0.6334
0.75767814	3.6447	0.6334
0.8602167199999999	3.0405	0.6334
0.7185100600000001	3.6352	0.6334
0.68416036	3.9921	0.6334
0.92795034	2.9086	0.6334
0.9030374000000001	2.9504	0.6331
0.7185100600000001	3.7164	0.6331
0.78918576	3.545	0.6331
0.60252686	4.336	0.6331
0.8855849199999999	3.0179	0.6331
0.9063347400000001	2.9433	0.6331
0.67979724	3.8154	0.6325
0.7559018399999999	3.5942	0.6325
0.86386932	3.1076	0.6325
0.83200644	3.2131	0.6325
0.6677736599999999	3.9182	0.6325
0.8218591599999999	3.1714	0.6325
0.75838866	3.6485	0.6325
0.77467536	3.5915	0.6325
0.67685516	3.8537	0.6325
0.7087180399999999	3.861	0.6325
0.8830981	3.0042	0.6325
0.80851454	3.4444	0.6325
0.7653386	3.5252	0.6323
0.82008286	3.2155	0.6323
0.7903515400000001	3.2956	0.6323
0.65229748	4.0464	0.6323
0.79096206	3.5156	0.6323
0.85336678	3.2407	0.6323
0.58837172	4.4814	0.6323
0.57654814	4.5559	0.6323
0.69857076	3.809	0.6323
0.81090136	3.3101	0.6322
0.78847524	3.3007	0.6322
0.7721885399999999	3.4563	0.6322
0.78928576	3.3609	0.6322
0.6862919199999999	3.8843	0.6322
0.72982312	3.5639	0.6322
0.75838866	3.6295	0.6322
0.6855814	3.8245	0.6322
0.79826726	3.3812	0.6322
0.60795576	4.2734	0.6322
0.6003953	4.3539	0.6322
0.6623447600000001	3.9268	0.6322
0.7863436800000001	3.307	0.6322
0.87437186	2.9953	0.6322
0.78847524	3.3308	0.6322
0.8117118799999999	3.3563	0.6322
0.6677736599999999	4.0339	0.6316
0.84616158	3.1764	0.6316
0.779849	3.4356	0.6316
0.67944198	4.1457	0.6316
0.70800752	3.6762	0.6316
0.5808112599999999	4.467	0.6316
0.95483958	2.7455	0.6316
0.8087698	3.2512	0.6316
0.8577299	3.0314	0.6316
0.9714815400000001	2.8258	0.6316
0.80405142	3.2265	0.6316
0.68948926	3.8582	0.5893
0.69395238	3.8858	0.5893
0.69243134	3.7549	0.5893
0.79177258	3.3927	0.5893
0.6383976	4.0616	0.5893
0.7452992999999999	3.6761	0.5893
0.57396132	4.5944	0.5893
0.7732543199999999	3.5581	0.5893
0.86386932	3.1091	0.5893
0.67355782	3.8865	0.5893
0.6084110199999999	4.6356	0.5893
0.81643026	3.4043	0.5893
0.8352037800000001	3.3273	0.5893
0.8054724600000001	3.4698	0.5893
0.7351520199999999	3.5586	0.5893
0.6421502	4.0697	0.5893
0.80440668	3.3262	0.5893
0.65255274	4.1574	0.5893
0.5841086	4.7877	0.5893
0.94327126	2.8324	0.5893
0.87259556	3.2692	0.5892
0.87837972	3.0736	0.5892
0.73915988	3.5145	0.5892
0.61054258	4.4515	0.5892
0.74281248	3.5379	0.5892
0.70293388	3.8966	0.5892
0.74565456	3.5222	0.5892
0.67934198	3.83	0.5892
0.69963654	3.7675	0.5892
0.8414432	3.1463	0.5892
0.8222144200000001	3.1804	0.5892
0.61170836	4.3845	0.5892
0.7559018399999999	3.6585	0.5892
0.75189398	3.5655	0.5892
0.85915094	3.0503	0.5892
0.71602324	3.709	0.5892
0.74753086	3.5481	0.5892
0.8428642399999999	3.1876	0.5892
0.77513062	3.3804	0.5892
0.91460572	2.9272	0.5892
0.6717815199999999	3.8784	0.5888
0.81643026	3.3907	0.5888
0.7620412599999999	3.4313	0.5888
0.77584114	3.3352	0.5888
0.73017838	3.7601	0.5888
0.72652578	3.7949	0.5888
0.56924294	4.8472	0.5888
0.68593666	3.7888	0.5888
0.81937234	3.2686	0.5888
0.7189653199999999	3.6076	0.5888
0.69973654	3.9084	0.5888
0.80628298	3.3122	0.5888
0.76239652	3.6511	0.5888
0.92262144	2.8094	0.5888
0.7599096999999999	3.7224	0.5888
1.00334442	2.6137	0.5888
0.7874094599999999	3.4704	0.5887
0.81998286	3.2081	0.5887
0.6775656800000001	3.8749	0.5887
0.67792094	4.0524	0.5887
