# DAUGHTER VS RLS BY REJUVENATION
# original file "wt_decCap_highRe_3gen.txt" 
# genT	cycleGrowth	rejuvenation
1.6447	1.6035	0.5421
1.6744	1.6038	0.5421
1.6734	1.5963	0.5421
1.6736	1.601	0.5421
1.682	1.6015	0.5421
1.6701	1.5968	0.5421
1.6824	1.5955	0.5421
1.6665	1.5988	0.5421
1.7033	1.5958	0.5421
1.6704	1.5993	0.5421
1.6705	1.597	0.5421
1.6911	1.5976	0.5421
1.6757	1.5964	0.5421
1.7046	1.5999	0.5421
1.6528	1.5977	0.5421
1.6745	1.5982	0.5421
1.6983	1.5959	0.5421
1.6701	1.6003	0.5421
1.684	1.5987	0.5421
1.6549	1.5979	0.5421
1.6805	1.5988	0.5421
1.6902	1.6047	0.5421
1.6752	1.5966	0.5421
1.6717	1.5964	0.5421
1.6707	1.6026	0.542
1.7128	1.5965	0.542
1.6748	1.5997	0.542
1.6506	1.6002	0.542
1.6961	1.6007	0.542
1.6444	1.6014	0.542
1.6722	1.5971	0.542
1.6567	1.6008	0.542
1.6737	1.5956	0.542
1.6867	1.5944	0.542
1.6686	1.6012	0.542
1.7035	1.5937	0.542
1.687	1.5971	0.542
1.7104	1.5979	0.542
1.697	1.6015	0.542
1.6887	1.6062	0.542
1.6707	1.5949	0.542
1.7122	1.5965	0.542
1.6998	1.5946	0.542
1.7015	1.5979	0.542
1.6666	1.5974	0.542
1.6793	1.604	0.542
1.6807	1.5935	0.542
1.6515	1.5996	0.542
1.6694	1.5979	0.542
1.6933	1.5977	0.5419
1.6632	1.5983	0.5419
1.6703	1.598	0.5419
1.6956	1.6007	0.5419
1.6857	1.5966	0.5419
1.657	1.6014	0.5419
1.7098	1.5975	0.5419
1.6535	1.5956	0.5419
1.6811	1.5984	0.5419
1.6829	1.5987	0.5419
1.7206	1.5938	0.5419
1.7	1.6013	0.5419
1.6942	1.5955	0.5419
1.7149	1.5989	0.5419
1.6821	1.6003	0.5419
1.676	1.598	0.5419
1.6619	1.6014	0.5419
1.661	1.5989	0.5419
1.6688	1.6023	0.5419
1.6772	1.6024	0.5419
1.6918	1.5954	0.5419
1.6829	1.5974	0.5419
1.664	1.5978	0.5419
1.6964	1.5976	0.5419
1.6604	1.596	0.5419
1.6882	1.5938	0.5419
1.6883	1.5988	0.5414
1.6514	1.6002	0.5414
1.6787	1.6002	0.5414
1.7116	1.5946	0.5414
1.6696	1.5957	0.5414
1.6658	1.5959	0.5414
1.7062	1.5978	0.5414
1.7017	1.5969	0.5414
1.691	1.5961	0.5414
1.6965	1.5942	0.5414
1.6777	1.5957	0.5414
1.6789	1.5939	0.5414
1.683	1.599	0.5414
1.694	1.5971	0.5414
1.6838	1.5922	0.5414
1.7175	1.5984	0.5414
1.7025	1.6001	0.5414
1.6942	1.595	0.5414
1.6731	1.6006	0.5414
1.6888	1.5992	0.5414
1.6888	1.6005	0.5414
1.6758	1.6001	0.5414
1.6626	1.5999	0.5414
1.6729	1.5994	0.4986
1.6622	1.599	0.4986
1.6662	1.5978	0.4986
1.6741	1.5955	0.4986
1.6694	1.6026	0.4986
1.6931	1.5987	0.4986
1.6833	1.5971	0.4986
1.684	1.5931	0.4986
1.6643	1.6029	0.4986
1.6698	1.5989	0.4986
1.7011	1.597	0.4986
1.6883	1.6002	0.4986
1.6708	1.5998	0.4986
1.6886	1.5935	0.4986
1.698	1.596	0.4986
1.6887	1.5932	0.4986
1.6623	1.5986	0.4986
1.6867	1.6047	0.4986
1.7044	1.603	0.4986
1.6522	1.5964	0.4986
1.6988	1.6042	0.4986
1.6745	1.5983	0.4986
1.6831	1.5956	0.4986
1.6739	1.5958	0.4986
1.6705	1.5996	0.4986
1.6774	1.5975	0.4986
1.6856	1.5967	0.4986
1.6754	1.596	0.4986
1.6712	1.5919	0.4986
1.6553	1.6005	0.4986
1.6786	1.6017	0.4986
1.6759	1.5941	0.4986
1.6516	1.6018	0.4986
1.6765	1.5972	0.4985
1.6943	1.598	0.4985
1.6584	1.5985	0.4985
1.6861	1.5931	0.4985
1.675	1.6023	0.4985
1.6785	1.5996	0.4985
1.6724	1.5966	0.4985
1.6988	1.5966	0.4985
1.6689	1.5955	0.4985
1.6568	1.5954	0.4985
1.6821	1.5994	0.4985
1.7013	1.5983	0.4985
1.6901	1.5958	0.4985
1.7057	1.5993	0.4985
1.6798	1.6029	0.4985
1.6784	1.5983	0.4985
1.7095	1.6012	0.4985
1.6947	1.5947	0.4985
1.7056	1.6021	0.4985
1.7186	1.6009	0.4985
1.6529	1.5974	0.4985
1.6946	1.5917	0.4985
1.6817	1.5955	0.4985
1.6726	1.5966	0.4985
1.7024	1.6001	0.4985
1.7092	1.6062	0.4985
1.676	1.5937	0.4985
1.6822	1.5984	0.4985
1.7079	1.5959	0.4985
1.6897	1.599	0.4985
1.6636	1.5978	0.4985
1.6992	1.5966	0.4985
1.6961	1.6016	0.4985
1.7034	1.5973	0.4985
1.69	1.5979	0.4985
1.679	1.5985	0.4985
1.6853	1.5937	0.4985
1.6663	1.5944	0.4985
1.6975	1.5966	0.4983
1.693	1.5978	0.4983
1.6499	1.5978	0.4983
1.6586	1.5975	0.4983
1.6918	1.5981	0.4983
1.6666	1.6045	0.4983
1.7054	1.6012	0.4983
1.6873	1.5995	0.4983
1.6452	1.5993	0.4983
1.6651	1.5967	0.4983
1.6645	1.603	0.4983
1.706	1.5976	0.4983
1.6982	1.5995	0.4983
1.6497	1.5989	0.4983
1.7142	1.6011	0.4983
1.6999	1.5964	0.4983
1.6909	1.6039	0.4983
1.7098	1.598	0.4983
1.6524	1.6005	0.4983
1.6849	1.5965	0.4983
1.6726	1.5954	0.4983
1.6484	1.6009	0.4983
1.6724	1.5986	0.4983
1.656	1.6029	0.4983
1.6791	1.6031	0.4983
1.6822	1.5972	0.4983
1.675	1.6014	0.4983
1.6528	1.598	0.4983
