# REJUVENATION FRACTION IN LINEAGE
# original file "wt_unlimCap_highRe_3gen_perturbed.txt" 
# mother	daughter	nCells	rej>0	rej>0.2	rej>0.5	rej>1
7.0	2.0	179.0	0.4972067039106145	0.11173184357541899	0.00558659217877095	0.0
7.0	3.0	179.0	0.4860335195530726	0.16759776536312848	0.0111731843575419	0.0
7.0	4.0	179.0	0.43575418994413406	0.13966480446927373	0.0	0.0
7.0	5.0	179.0	0.43575418994413406	0.1564245810055866	0.00558659217877095	0.0
7.0	6.0	179.0	0.40782122905027934	0.061452513966480445	0.0	0.0
7.0	7.0	179.0	0.4748603351955307	0.10614525139664804	0.00558659217877095	0.0
7.0	8.0	179.0	0.4301675977653631	0.1452513966480447	0.00558659217877095	0.0
7.0	9.0	179.0	0.3854748603351955	0.0670391061452514	0.0	0.0
7.0	10.0	179.0	0.31843575418994413	0.0893854748603352	0.00558659217877095	0.0
7.0	11.0	179.0	0.43575418994413406	0.11173184357541899	0.0	0.0
7.0	12.0	179.0	0.36312849162011174	0.08379888268156424	0.00558659217877095	0.0
7.0	13.0	178.0	0.28651685393258425	0.05056179775280899	0.011235955056179775	0.0
7.0	14.0	175.0	0.2857142857142857	0.04	0.0	0.0
7.0	15.0	170.0	0.3058823529411765	0.052941176470588235	0.0058823529411764705	0.0
7.0	16.0	145.0	0.19310344827586207	0.020689655172413793	0.0	0.0
7.0	17.0	105.0	0.09523809523809523	0.01904761904761905	0.0	0.0
7.0	18.0	76.0	0.10526315789473684	0.013157894736842105	0.0	0.0
7.0	19.0	50.0	0.08	0.02	0.02	0.0
7.0	20.0	24.0	0.041666666666666664	0.0	0.0	0.0
7.0	21.0	11.0	0.0	0.0	0.0	0.0
7.0	22.0	8.0	0.0	0.0	0.0	0.0
7.0	23.0	1.0	NaN	NaN	NaN	NaN
7.0	24.0	1.0	NaN	NaN	NaN	NaN
7.0	25.0	1.0	NaN	NaN	NaN	NaN
7.0	26.0	1.0	NaN	NaN	NaN	NaN
7.0	27.0	1.0	NaN	NaN	NaN	NaN
8.0	1.0	179.0	0.5195530726256983	0.2011173184357542	0.00558659217877095	0.0
8.0	2.0	179.0	0.547486033519553	0.18435754189944134	0.0223463687150838	0.0
8.0	3.0	179.0	0.5810055865921788	0.2011173184357542	0.0111731843575419	0.0
8.0	4.0	179.0	0.4581005586592179	0.16759776536312848	0.0111731843575419	0.0
8.0	5.0	179.0	0.4692737430167598	0.16201117318435754	0.00558659217877095	0.0
8.0	6.0	179.0	0.4301675977653631	0.12849162011173185	0.00558659217877095	0.0
8.0	7.0	179.0	0.4301675977653631	0.1340782122905028	0.01675977653631285	0.0
8.0	8.0	179.0	0.46368715083798884	0.12290502793296089	0.00558659217877095	0.0
8.0	9.0	179.0	0.44692737430167595	0.10614525139664804	0.0	0.0
8.0	10.0	179.0	0.3743016759776536	0.09497206703910614	0.0	0.0
8.0	11.0	179.0	0.39106145251396646	0.11731843575418995	0.0	0.0
8.0	12.0	179.0	0.3463687150837989	0.11173184357541899	0.00558659217877095	0.0
8.0	13.0	179.0	0.3575418994413408	0.09497206703910614	0.00558659217877095	0.0
8.0	14.0	177.0	0.423728813559322	0.096045197740113	0.0	0.0
8.0	15.0	156.0	0.28205128205128205	0.038461538461538464	0.0	0.0
8.0	16.0	127.0	0.15748031496062992	0.007874015748031496	0.0	0.0
8.0	17.0	96.0	0.09375	0.020833333333333332	0.0	0.0
8.0	18.0	68.0	0.08823529411764706	0.014705882352941176	0.0	0.0
