# DAUGHTER VS D BY REJUVENATION
# original file "wt_unlimCap_highRe_3gen.txt" 
# daughter	initD	rejuvenation
6.0	0.1235	0.8591
11.0	0.1563	0.8591
23.0	0.1855	0.8591
14.0	0.1656	0.8591
5.0	0.1154	0.8181
11.0	0.1461	0.8181
13.0	0.1508	0.8181
2.0	0.0735	0.8181
13.0	0.157	0.8181
14.0	0.1636	0.8181
16.0	0.1921	0.8181
15.0	0.1692	0.8181
3.0	0.0961	0.8181
13.0	0.1614	0.8181
11.0	0.1485	0.8181
2.0	0.0811	0.8181
22.0	0.1996	0.8181
5.0	0.1111	0.8178
2.0	0.0829	0.8178
10.0	0.1416	0.8178
2.0	0.0842	0.8178
5.0	0.1146	0.8178
15.0	0.1564	0.8178
2.0	0.0862	0.8178
6.0	0.1234	0.8178
16.0	0.1727	0.8178
15.0	0.1695	0.8178
3.0	0.0859	0.8178
7.0	0.1224	0.8178
1.0	0.0662	0.8173
18.0	0.1681	0.8173
6.0	0.1225	0.8173
15.0	0.1781	0.8173
19.0	0.1881	0.8173
3.0	0.0986	0.8173
8.0	0.1361	0.8173
2.0	0.0859	0.8173
1.0	0.0641	0.817
17.0	0.2072	0.817
12.0	0.1527	0.817
1.0	0.0741	0.817
5.0	0.1153	0.817
10.0	0.1483	0.817
11.0	0.1622	0.817
8.0	0.1399	0.817
2.0	0.0857	0.817
16.0	0.1972	0.817
2.0	0.0837	0.817
5.0	0.1103	0.817
11.0	0.1489	0.8168
6.0	0.1248	0.8168
3.0	0.1012	0.8168
15.0	0.1666	0.8168
8.0	0.1368	0.8168
16.0	0.176	0.8168
8.0	0.1314	0.8168
9.0	0.1375	0.8168
6.0	0.1164	0.8168
7.0	0.1248	0.8168
12.0	0.1579	0.8168
8.0	0.1269	0.8168
14.0	0.1578	0.8168
16.0	0.174	0.8167
16.0	0.1731	0.8167
4.0	0.1027	0.8167
3.0	0.0945	0.8167
2.0	0.0798	0.8167
3.0	0.0946	0.8167
10.0	0.1401	0.8167
19.0	0.1709	0.8167
4.0	0.0994	0.8167
11.0	0.1526	0.8167
12.0	0.1548	0.8166
6.0	0.1125	0.8166
11.0	0.1501	0.8166
7.0	0.1249	0.8166
12.0	0.151	0.8166
1.0	0.0778	0.8166
14.0	0.1625	0.8166
13.0	0.1622	0.8166
19.0	0.1747	0.8165
18.0	0.1781	0.8165
14.0	0.1603	0.8165
1.0	0.0791	0.8165
3.0	0.0935	0.8165
16.0	0.1691	0.8165
14.0	0.1633	0.8165
3.0	0.1006	0.8165
16.0	0.1631	0.8165
15.0	0.1673	0.8165
2.0	0.0897	0.8165
12.0	0.1606	0.816
6.0	0.1069	0.816
17.0	0.1923	0.816
6.0	0.1201	0.816
3.0	0.0971	0.816
7.0	0.1256	0.816
16.0	0.1672	0.816
23.0	0.2093	0.816
6.0	0.1173	0.816
21.0	0.1784	0.816
2.0	0.0893	0.816
16.0	0.1747	0.816
4.0	0.1101	0.816
13.0	0.1557	0.816
9.0	0.1308	0.8139
5.0	0.1102	0.8139
21.0	0.1935	0.8139
7.0	0.1226	0.8139
12.0	0.1502	0.8139
11.0	0.1471	0.8139
3.0	0.0906	0.8139
3.0	0.0969	0.8139
4.0	0.1077	0.7727
8.0	0.129	0.7727
12.0	0.1593	0.7727
8.0	0.132	0.7727
20.0	0.1866	0.7727
2.0	0.0863	0.7727
9.0	0.1395	0.7727
18.0	0.1852	0.7727
5.0	0.1113	0.7727
18.0	0.1808	0.7727
14.0	0.1509	0.7727
4.0	0.1032	0.7727
6.0	0.1161	0.7727
6.0	0.1205	0.7727
9.0	0.141	0.7727
16.0	0.1693	0.7727
14.0	0.1687	0.7727
3.0	0.1008	0.7727
12.0	0.1562	0.7727
12.0	0.1503	0.7727
3.0	0.0844	0.7727
9.0	0.1389	0.7727
26.0	0.2116	0.7727
9.0	0.1429	0.7727
3.0	0.0938	0.7727
3.0	0.0853	0.7727
13.0	0.1583	0.7727
8.0	0.1319	0.7724
8.0	0.125	0.7724
10.0	0.1366	0.7724
4.0	0.1016	0.7724
16.0	0.1813	0.7724
4.0	0.1039	0.7724
8.0	0.1347	0.7719
4.0	0.1039	0.7719
6.0	0.1221	0.7719
8.0	0.1387	0.7719
13.0	0.171	0.7719
5.0	0.109	0.7719
16.0	0.176	0.7719
5.0	0.1133	0.7719
1.0	0.0739	0.7719
2.0	0.0778	0.7719
15.0	0.1655	0.7719
10.0	0.1422	0.7719
6.0	0.1146	0.7719
12.0	0.1489	0.7719
2.0	0.0873	0.7719
17.0	0.1757	0.7716
2.0	0.0888	0.7716
4.0	0.1062	0.7716
4.0	0.1042	0.7716
6.0	0.1228	0.7716
17.0	0.189	0.7716
9.0	0.1414	0.7716
12.0	0.1513	0.7716
11.0	0.1425	0.7716
15.0	0.1739	0.7716
10.0	0.141	0.7714
2.0	0.087	0.7714
8.0	0.1309	0.7714
14.0	0.165	0.7714
12.0	0.1503	0.7714
19.0	0.1861	0.7714
5.0	0.1006	0.7714
4.0	0.1024	0.7714
17.0	0.1644	0.7714
10.0	0.1511	0.7714
4.0	0.1066	0.7714
1.0	0.0748	0.7714
8.0	0.1342	0.7714
18.0	0.1716	0.7714
5.0	0.1112	0.7714
11.0	0.1511	0.7714
13.0	0.1514	0.7714
7.0	0.1286	0.7714
2.0	0.0808	0.7714
7.0	0.1269	0.7714
6.0	0.1206	0.7714
14.0	0.1646	0.7714
5.0	0.1102	0.7714
10.0	0.142	0.7714
6.0	0.1195	0.7714
2.0	0.0704	0.7714
7.0	0.1184	0.7714
21.0	0.1932	0.7714
4.0	0.1033	0.7714
21.0	0.2001	0.7714
1.0	0.0739	0.7714
2.0	0.0904	0.7712
19.0	0.2032	0.7712
1.0	0.0692	0.7712
2.0	0.0913	0.7712
12.0	0.1435	0.7712
8.0	0.1361	0.7712
5.0	0.1087	0.7712
8.0	0.1319	0.7712
3.0	0.083	0.7712
20.0	0.1778	0.7712
13.0	0.1565	0.7711
3.0	0.0887	0.7711
4.0	0.1033	0.7711
14.0	0.1558	0.7711
3.0	0.1003	0.7711
2.0	0.0687	0.7711
16.0	0.18	0.7711
9.0	0.1387	0.7711
12.0	0.1508	0.7711
11.0	0.143	0.7711
11.0	0.1482	0.7711
20.0	0.1749	0.7711
19.0	0.1897	0.7711
9.0	0.1378	0.7711
10.0	0.1473	0.7711
14.0	0.1621	0.7711
10.0	0.1469	0.7711
15.0	0.1605	0.7707
17.0	0.1746	0.7707
10.0	0.1408	0.7707
8.0	0.1279	0.7707
5.0	0.1116	0.7707
10.0	0.1482	0.7707
17.0	0.184	0.7707
13.0	0.1573	0.7707
11.0	0.1427	0.7707
9.0	0.1462	0.7707
10.0	0.1422	0.7707
